billing_id,subscription_id,billing_amount,payment_status,billing_date
1de0343d,6d621c98,46.67,Paid,2022-03-30
a94b4253,5e6ad44b,138.64,Paid,2024-11-23
b559b240,eb715e5e,93.94,Overdue,2016-07-05
f908d1da,9f9d64af,108.6,Paid,2020-10-04
e70b37ba,49860ec6,70.64,Pending,2022-08-14
701fabd8,e62f80a9,116.38,Overdue,2016-10-03
5db087b5,538812f1,84.76,Overdue,2016-10-06
4a50b5b0,5be93bd1,106.89,Overdue,2015-09-06
b1db63a6,a7ed863a,81.4,Overdue,2018-04-22
04e5dc67,035972bc,58.4,Overdue,2018-01-10
c8cf458a,e73f062e,98.62,Overdue,2023-12-18
a8910870,9f194ec4,59.04,Overdue,2023-10-03
e0498cc0,42f31d56,160.31,Paid,2015-04-15
8082c99e,1c7a7ca1,64.18,Overdue,2023-07-04
3aeacefe,649360a1,122.82,Paid,2021-02-07
26c335db,079a76bf,196.85,Pending,2022-05-22
fae3a05b,2f715eb8,187.93,Overdue,2021-11-28
dfa4f9ed,031f262e,38.19,Paid,2015-10-31
9c5b88a4,e1be4dce,183.01,Overdue,2017-04-04
83a07167,50e4eeb1,24.84,Overdue,2015-11-10
d87562b3,44b8e428,177.68,Paid,2016-07-28
aa9abb9c,5b3a20bd,17.58,Pending,2018-10-30
92cbd0a1,98e6738d,115.23,Overdue,2022-09-13
196fa7d2,0e5af016,64.77,Paid,2016-07-17
2b3d57b2,5845bfbd,175.63,Paid,2024-10-19
19a1dc5a,ffe3a6fe,198.22,Pending,2016-12-07
1151f06c,97973b7c,127.97,Paid,2015-04-13
09cff966,b8011191,41.82,Overdue,2015-11-24
04ff1329,bc08f242,104.37,Paid,2022-07-06
96488069,d5be9605,112.3,Paid,2016-09-21
7debac70,cae657e6,127.2,Pending,2021-03-14
0fe4c685,9130eb1c,37.01,Pending,2022-06-14
d2f72ffc,274d1fa8,98.24,Pending,2020-11-13
7fa0908d,41a0e8db,79.86,Paid,2017-04-19
77d06f25,fcb6ed0c,188.65,Paid,2018-03-24
232892e7,3b5792b0,94.3,Pending,2021-07-19
5c136ff4,8a416281,122.55,Pending,2023-07-28
83c9425a,d86c488b,85.74,Pending,2015-06-01
01417779,2eccda7e,102.29,Paid,2024-10-09
c5d56954,d4e2cb83,14.76,Paid,2022-09-26
